index,x_ego,y_ego,delta_z
0,3.563143458184066e-14,1.193669698948467,-0.13319481618657392
1,-6.948778772028346e-14,1.193669698948594,-0.13319481618651707
2,6.099032899769592e-14,1.193669698948494,-0.13319481618657392
3,0.05052726486352214,1.2996905123676221,-0.11422322269305596
4,0.046370530863292944,1.4085759203151658,-0.09525162919955221
5,3.119320208865879e-14,1.40933897605368,-0.09525162919960906
6,7.933138714424599e-14,1.4093389760537112,-0.09525162919959484
7,-1.057858040447302e-13,1.4093389760536696,-0.09525162919955221
8,-0.5091322552512404,1.1346420587185473,-0.033066141397199544
9,1.7033864886731743e-13,1.2436350971045556,-0.03306614139724218
10,-8.115287264059691e-14,1.2436350971046448,-0.0330661413971427
11,-5.363981437421654e-15,1.2436350971045314,-0.033066141397199544
12,0.07614987220142062,1.3700895819629308,-0.041976594463108086
13,0.06901498789022863,1.5026896843758322,-0.05088704752903084
14,-4.6287789337904566e-15,1.5042736971985124,-0.05088704752903084
15,-8.514291612659886e-14,1.5042736971985082,-0.050887047528973994
16,2.048220661315811e-13,1.5042736971984052,-0.05088704752903084
17,0.0511109705805018,3.0479315748496765,-0.1437155092960154
18,1.0735877327910807e-13,3.048360086387413,-0.1437155092960154
19,-1.6221656782372248e-14,3.048360086387241,-0.14371550929605803
20,-6.072054604642417e-14,3.0483600863872935,-0.1437155092960154
21,0.1198358410692512,3.3530741479909003,-0.10092880148722827
22,0.10887612514486569,3.6640146138954326,-0.05814209367841272
23,-9.801923475910143e-14,3.6656318829727694,-0.05814209367835588
24,1.0002414363985932e-13,3.665631882972669,-0.05814209367839851
25,-8.641740415176855e-14,3.6656318829726713,-0.05814209367839851
26,0.279549405890181,3.9256739077727936,0.019569654143580806
27,2.7784695662038378e-14,3.9356147550924896,0.019569654143680282
28,3.2276396044140984e-14,3.9356147550923364,0.019569654143595017
29,-1.756986572919054e-14,3.9356147550924194,0.019569654143580806
30,-0.02212091799239304,4.124316746346948,-0.025222287120385545
31,-0.021108504604858584,4.313193990766617,-0.07001422838439453
32,-2.9161914744757517e-15,4.313245642315311,-0.07001422838445137
33,1.390771437131901e-14,4.313245642315242,-0.07001422838438032
34,-9.756098285692072e-14,4.313245642315295,-0.07001422838445137
35,-0.42141104180219807,4.370337674209108,-0.1589348541609752
36,-1.1884280739567335e-13,4.390608004908282,-0.1589348541609752
37,1.4783105629907481e-13,4.390608004908234,-0.1589348541609894
38,-1.4711577650102067e-13,4.390608004908275,-0.1589348541609752
39,0.16809892619441338,4.375413995764282,-0.1398947092604601
40,0.16855831281003084,4.369912518902206,-0.12085456435998765
41,-5.344713542783051e-14,4.373162165718918,-0.12085456435995923
42,5.708904197070666e-14,4.37316216571892,-0.12085456435994502
43,3.3072658060650144e-14,4.373162165718897,-0.12085456435998765
44,-0.43739096853030146,4.112360922671292,-0.18958296883076287
45,-1.1004745207980629e-13,4.1355559744326165,-0.18958296883076287
46,2.0448373249565626e-14,4.135555974432729,-0.18958296883070602
47,9.241451608442603e-14,4.135555974432631,-0.18958296883076287
48,-0.3635894135598151,3.817260421760282,-0.22334312992413174
49,-0.39213191887611204,3.552151004661958,-0.2571032910174438
50,1.0862868433328054e-13,3.573729732607392,-0.25710329101738694
51,-3.6896855363674537e-14,3.5737297326073305,-0.2571032910174864
52,1.0692837170348268e-14,3.5737297326074104,-0.25710329101740115
53,0.3285038380487878,3.6289931358784506,-0.21317776642212038
54,8.637891366286589e-14,3.643831218904887,-0.21317776642217723
55,-8.697684368744981e-14,3.6438312189048485,-0.2131777664221346
56,8.50466460333157e-14,3.6438312189048414,-0.21317776642212038
57,-1.0148077830133488,3.7543138094332895,-0.1026395507719684
58,-0.9508205432602294,4.260508285818518,0.007898664878354111
59,-1.0346424938927595e-14,4.365316776479602,0.007898664878297268
60,-1.2175048784131807e-13,4.365316776479619,0.007898664878297268
61,1.6037065643077852e-13,4.365316776479612,0.007898664878297268
62,0.02705946713511371,4.094940259430753,0.019471280044896844
63,-3.8788928498982254e-14,4.095029663270986,0.019471280044939476
64,1.480616908923837e-13,4.095029663270845,0.01947128004484
65,-1.5135807342864002e-13,4.095029663270981,0.019471280044939476
66,-0.06001705828775688,3.9051560581471216,0.08899556886044024
67,-0.06292773203659739,3.716688310233671,0.1585198576761968
68,6.698926840077669e-14,3.717220990859447,0.15851985767609733
69,-5.954525810387207e-14,3.717220990859567,0.15851985767615417
70,5.194172704550381e-14,3.7172209908594347,0.15851985767609733
71,0.5837973294487875,3.5634205534238794,0.19024470518807846
72,-8.701763669641397e-14,3.6109258317549773,0.19024470518809267
73,-1.5416345844599583e-14,3.610925831755014,0.19024470518807846
74,-6.263730532262613e-14,3.610925831755086,0.19024470518817793
75,-0.2128391085110086,3.5344476200498076,0.25718584171350756
76,-0.21705132426519508,3.4773039982334737,0.3241269782389651
77,-2.0622067622910574e-13,3.4840715224428536,0.3241269782390219
78,2.308180313480476e-13,3.484071522442626,0.3241269782389651
79,-3.887493520033085e-14,3.4840715224426155,0.3241269782389793
80,1.7428562354737325,1.7306665454216026,0.20864185544331804
81,-9.375311012238365e-14,2.4561666370528084,0.2086418554434175
82,1.0140896920190972e-13,2.4561666370527635,0.20864185544333225
83,9.760600245794905e-14,2.456166637052835,0.20864185544331804
84,-0.10731259129077486,2.316354279690569,0.19190511952146494
85,-0.11366793255438748,2.1841424655365653,0.17516838359946973
86,4.3123582743879295e-14,2.187098239369002,0.17516838359948395
87,-2.591252549135137e-13,2.1870982393691576,0.175168383599555
88,1.472678520864923e-13,2.1870982393689826,0.17516838359948395
89,0.053207173615338124,1.7107704159819075,0.07255272129594914
90,-8.636890393748653e-14,1.711597621966982,0.07255272129590651
91,1.0414801232389e-13,1.7115976219669025,0.07255272129594914
92,-8.34018318602515e-14,1.7115976219668847,0.07255272129594914
93,-0.13599307077223,1.4928648927794945,0.06685059186347075
94,-0.1552756722962587,1.2935527422894684,0.0611484624311629
95,4.408299461407975e-17,1.3028389123341064,0.0611484624311629
96,-4.4033806080279685e-20,1.3028389123341064,0.06114846243117711
97,-4.406264200899176e-17,1.302838912334007,0.0611484624311629
